Date,Open,High,Low,Close,Volume
2025-09-10,7.90,7.93,7.74,7.85,7564200
2025-09-11,7.90,8.06,7.54,7.65,13555100
2025-09-12,7.63,7.64,7.46,7.58,7368300
2025-09-15,7.62,8.21,7.62,8.19,10387600
2025-09-16,8.18,8.28,7.72,7.94,11199200
2025-09-17,7.94,8.31,7.94,8.13,9569700
2025-09-18,8.25,8.38,7.92,7.93,10343100
2025-09-19,7.85,8.44,7.78,8.27,19265500
2025-09-22,8.20,8.45,8.05,8.33,9388200
2025-09-23,8.34,8.50,7.97,8.03,9076700
2025-09-24,8.07,8.27,7.78,8.25,11941100
2025-09-25,8.19,8.70,8.10,8.42,15047200
2025-09-26,8.41,8.90,8.31,8.56,12083900
2025-09-29,8.78,8.84,8.15,8.67,20210900
2025-09-30,8.65,9.19,8.64,9.00,19084800
2025-10-01,9.18,9.18,8.10,8.67,42162500
2025-10-02,8.68,8.89,8.54,8.68,12361200
2025-10-03,8.75,9.20,8.52,8.58,13395400
2025-10-06,8.65,8.80,8.24,8.34,19257300
2025-10-07,8.23,8.28,7.30,7.31,29207300
2025-10-08,7.41,7.46,7.26,7.34,13516600
2025-10-09,7.32,7.63,7.28,7.35,13296900
2025-10-10,7.38,7.48,6.94,6.96,15402300
2025-10-13,7.11,7.44,6.95,7.37,11286700
2025-10-14,7.26,7.79,7.22,7.71,11036600
2025-10-15,7.81,7.85,7.52,7.62,9286200
2025-10-16,7.65,7.80,7.33,7.52,9298700
2025-10-17,7.45,7.59,7.42,7.50,9466500
